Environment,かんきょう
Earth,ちきゅう
To protect,まもる
Atomic energy,げんしりょく
To proceed,すすむ
Ecosystem,エコシステム
Warming,おんだんか
Being left out,なかまはずれ
To commit suicide,じさつする
To lose,なくなる
Ultra violet,しがいせん
Exhaust gas,はいきガス
Air,くうき
Conservation,ほご
Rise in temperature,きおんが上がる
Co2,にさんかたんそ
The ozone layer,オゾンそう
Sun,たいよう
To get on well,なかがいい
Average,へいきん
National resource,しげん
Hard rubbish,そだいご
Disposable,使いすて
Quarrel,けんか
Stay indoors,ひきこもり
To not get on well,なかがわるい
Occupation,しょくぎょう
Hydrolytic power,すいりょく
Bullying,いじめ
To associate with,つきあう
Generation of electricity,はつでん
Be polluted,よごれる
To save,せつやく
Oil,せきゆ
Psychology,しんり学
Water shortage,みずぶそく
Waste,むだ
Problem,もんだい
Give birth to children,子どもを生む
Live long,長生きをする
Lonely,さびしい
Accounting,かいけい学
Lack,ふそく
Economics,けいざい学
Company employee,会社員
To disappear,いなくなる
Value,大切にする
Wind-force,ふうりょ
Solitude,こどく
Purpose,もくてき
Freon gas,フロンガス
Tree dies,木がかれる
To get a license,めんきょをとる
To be healed,なおる
Lifespan, じゅみょう
Global warming,ちきゅうおんだんか
International conference,こくさいかいぎ
Solar heat,たいようねつ
Raise children,子どもをそだてる
Relation to,かんけいがある
