四大名著,the Four Classic Novels of Chinese literature
传奇,legend; fantastic tale
丞相,prime minister (in ancient times)
说服,persuade; convince
联合,unite; ally; joint; combined; alliance; union; coalition
作战,to conduct (military operations); to fight; combat
联军,allied forces; united army; coalition
摆,to put (on); arrange; to sway; pendulum
阵势,battle formation
主帅,coach; commander in chief
军师,military adviser
商议,confer; negotiate; to deliberate
交战,to battle
兵器,weapon; weaponry; arms
误事,cause delay; bumble matters
预计,forecast; predict; estimate
参谋,advisor; give advice
草把,bundle of grass
不相干,be irrelevant; have nothing to do with
动静,sound of activity or people talking; news of activity
吩咐,instruct; instructions; to tell; to order (to do something)
军营,a military camp
水寨,fortified water village
呐喊,shout loudly; cheer
虚实,actual situation; theoretical and practical; empty and full; false and true
轻易,easily; lightly; rashly
逼近,press on towards; close in on; approach
上当,be fooled; be duped; be taken in
顺风,lit. favourable wind; tail wind; have a pleasant journey; Bon Voyage!
自负,conceited; take responsibility
赞叹,sigh or gasp in admiration; highly praise
神机妙算,lit. a superb strategy; a miracle of foresight (idiom); wonderful foresight (in military operations etc.)
罗贯中,Luo Guanzhong
三国,Three Kingdoms (220-280)
汉献帝,Han emperor; 181 - 234 BC
清明节,Qingming or Pure Brightness Festival or Tomb Sweeping Day
