Environment,かんきょう
Earth,ちきゅう
To protect,まもる
Atomic energy,げんしりょく
To proceed,すすむ
Lifespan,じゅみょう
Warming,おんだんか
Being left out,なかまはずれ
To commit suicide,じさつする
To lose,なくなる
Ultraviolet,しがいせん
Exhaust gas,はいきガス
Air,くうき
Conservation,ほご
Rise in temperature,きおんがあがる
Co2,にさんかたんそ
Ageing society,こうれいかしゃかい
Sun,たいよう
To get on well,なかがいい
Average,へいきん
Lonely,さびしい
Accounting,かいけいがく
Lack,ふそく
Economics,けいざいがく
Company employee,かいしゃ いん
Declining birth rate,しょうしか
Tree dies,きがかれる
To get a license,めんきょをとる
To be healed,なおる
Pension,ねんきん
To disappear,いなくなる
Value,たいせつにする
Wind-force,ふうりょく
Solitude,こどく
Purpose,もくてき
Global warming,ちきゅうおんだんか
International conference,こくさいかいぎ
Solar heat,たいようねつ
Raise children,こどもをそだてる
Relation to,かんけいがある
National resource,しげん
Hard rubbish,そだいごみ
Disposable,つかいすて
Quarrel,けんか
Stay indoors,ひきこもり
To not get on well,なかがわるい
Occupation,しょくぎょう
Hydrolytic power,すいりょく
Bullying,いじめ
To associate with,つきあう
Generation of electricity,はつでん
Be polluted,よごれる
To save,せつやく
Oil,せきゆ
Psychology,しんりがく
Water shortage,みずぶそく
Waste,むだ
Problem,もんだい
To look after,せわをする
Government,せいふ
